Name,Artist,Genre,Subgenre,Energy
Forever Young,John De Sohn,pop,dance pop,0.617
eoh,Olympis,pop,dance pop,0.585
Nobody,Martin Jensen,pop,dance pop,0.687
All Day And Night,Jax Jones,pop,dance pop,0.765
Whenever (feat. Conor Maynard),Kris Kross Amsterdam,pop,dance pop,0.765
All For Love,Tungevaag & Raaban,pop,dance pop,0.901
Bittersweet Symphony (feat. Emily Roberts),GAMPER & DADONI,pop,dance pop,0.582
One Touch,Jess Glynne,pop,dance pop,0.693
Be Your Friend‬‬,Vigiland,pop,dance pop,0.754
Just Got Paid,Sigala,pop,dance pop,0.921
Darkside,Alan Walker,pop,dance pop,0.606
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,pop,dance pop,0.723
Body (feat. brando),Loud Luxury,pop,dance pop,0.764
Who's Got Your Love,Cheat Codes,pop,dance pop,0.888
Pumped Up,Klingande,pop,dance pop,0.734
California,Hot Shade,pop,dance pop,0.735
Solo Dance,Martin Jensen,pop,dance pop,0.846
Replay,Davai,pop,dance pop,0.809
Love No More,Loud Luxury,pop,dance pop,0.674
All Falls Down (feat. Juliander),Alan Walker,pop,dance pop,0.672
Lonely Together (feat. Rita Ora),Avicii,pop,dance pop,0.656
Remind Me to Forget,Kygo,pop,dance pop,0.505
Next To Me,Axel Johansson,pop,dance pop,0.597
Giant (with Rag'n'Bone Man),Calvin Harris,pop,dance pop,0.887
Hum With Me,John De Sohn,pop,dance pop,0.708
Without You (feat. Sandro Cavazza),Avicii,pop,dance pop,0.858
Sad (feat. Afrojack),Chico Rose,pop,dance pop,0.716
Stargazing,Kygo,pop,dance pop,0.497
Symphony (feat. Zara Larsson),Clean Bandit,pop,dance pop,0.605
Stay Young,Mike Perry,pop,dance pop,0.713
More Than You Know,Axwell /\ Ingrosso,pop,dance pop,0.741
Why Boy,Steff da Campo,pop,dance pop,0.924
The Nights,Avicii,pop,dance pop,0.835
Rich Love (with Seeb),OneRepublic,pop,dance pop,0.872
Mama,Jonas Blue,pop,dance pop,0.794
Feel Good,Felix Jaehn,pop,dance pop,0.903
Breathe (feat. Ina Wroldsen),Jax Jones,pop,dance pop,0.733
Rockstar,Ilkay Sencan,pop,dance pop,0.826
Jackie Chan,Tiësto,pop,dance pop,0.834
Moonlight,Gaullin,pop,dance pop,0.761
All I Wanna Do,Martin Jensen,pop,dance pop,0.794
Sweet but Psycho,Ava Max,pop,dance pop,0.704
High On Life (feat. Bonn),Martin Garrix,pop,dance pop,0.486
So Am I,Ava Max,pop,dance pop,0.656
Through To You,Lyente,pop,dance pop,0.689
Burn Out (feat. Dewain Whitmore),Martin Garrix,pop,dance pop,0.722
Penny,Dimitri Vangelis & Wyman,pop,dance pop,0.968
Wait For Me,Steve Brian,pop,dance pop,0.739
bad guy,Billie Eilish,pop,dance pop,0.425
Daylight (Airbeat One Anthem 2018),Fluex,pop,dance pop,0.939
Imagine,Rob Tirea,pop,dance pop,0.776
Glitch,Martin Garrix,pop,dance pop,0.792
Brand New (Helium),Lvly,pop,dance pop,0.809
Shades Of Voices (Original Mix),PULLER,pop,dance pop,0.874
In Time,CAZZETTE,pop,dance pop,0.711
Halfway There (feat. Lena Leon),Tiësto,pop,dance pop,0.888
Spirit Of Freedom,Dropgun,pop,dance pop,0.914
Mama Look at Me Now,Galantis,pop,dance pop,0.678
The Beat,Mike Williams,pop,dance pop,0.954
Wild Wild Son,Armin van Buuren,pop,dance pop,0.573
Waiting For Love,Avicii,pop,dance pop,0.741
Like I Do,David Guetta,pop,dance pop,0.9
Skyline,Catiso,pop,dance pop,0.791
Callin' - Extended Mix,Lush & Simon,pop,dance pop,0.956
Roads,Vargas & Lagola,pop,dance pop,0.806
Jackie Chan,Tiësto,pop,dance pop,0.838
Came Here for Love,Sigala,pop,dance pop,0.868
Mercury,Catiso,pop,dance pop,0.828
Different Place,STVCKS,pop,dance pop,0.943
One Last Time,Ariana Grande,pop,dance pop,0.593
I Feel The Love,Tritonal,pop,dance pop,0.813
No Brainer,DJ Khaled,pop,dance pop,0.76
Sun Is Shining,Axwell /\ Ingrosso,pop,dance pop,0.757
Breathe,Jax Jones,pop,dance pop,0.744
In the Name of Love,Martin Garrix,pop,dance pop,0.519
Pure Gold,oomiee,pop,dance pop,0.857
Turning Up,ARASHI,pop,dance pop,0.817
Winter Hitori feat. ASOBOiSM,Shinn Yamada,pop,dance pop,0.722
9と4分の3番線で君を待つ (Run Away) - Japanese Ver.,TOMORROW X TOGETHER,pop,dance pop,0.787
Nobody Knows,Hiroomi Tosaka,pop,dance pop,0.885
One in a Million -奇跡の夜に-,GENERATIONS from EXILE TRIBE,pop,dance pop,0.805
別世界,E-girls,pop,dance pop,0.88
Gimme GImme,iamSHUM,pop,dance pop,0.858
御伽の街,DAOKO,pop,dance pop,0.863
ボイスメモ No. 5,CHANMINA,pop,dance pop,0.666
Now & Forever (feat. SONPUB & 向井太一),香取慎吾,pop,dance pop,0.569
Make A Move - Pt. 2,EMMA WAHLIN,pop,dance pop,0.52
光線,Ghost like girlfriend,pop,dance pop,0.744
ZONE OF GOLD,Ryuji Imaichi,pop,dance pop,0.714
LOVE + PARTY,CREAM,pop,dance pop,0.77
WAKE ME UP,THE RAMPAGE from EXILE TRIBE,pop,dance pop,0.961
New Page,INTERSECTION,pop,dance pop,0.733
Easy Breezy,chelmico,pop,dance pop,0.993
TOTSUKA feat. サイプレス上野,ASOBOiSM,pop,dance pop,0.588
taste,FlowBack,pop,dance pop,0.666
I don’t wanna do,SARM,pop,dance pop,0.865
A-RA-SHI:Reborn,ARASHI,pop,dance pop,0.8
Light,SIRUP,pop,dance pop,0.673
Night Ship,Yo-Sea,pop,dance pop,0.512
Fly me 2,eill,pop,dance pop,0.719
Not Enough,Rei Yasuda,pop,dance pop,0.847
COLORLESS,Daichi Miura,pop,dance pop,0.56
New Shoes - feat.Shun Murakami,phai,pop,dance pop,0.463
MarudeSaturday Night,BABY-T,pop,dance pop,0.77
FUTARI x PARTY,CREAM,pop,dance pop,0.746
SUPERSTAR,真之介,pop,dance pop,0.782
Be on the Stage,KEITA,pop,dance pop,0.854
space shuttle,空音,pop,dance pop,0.934
Amazing!,Sakurako Ohara,pop,dance pop,0.856
TO-KE-TE,HAN-KUN,pop,dance pop,0.891
You're the Reason - English ver.,INTERSECTION,pop,dance pop,0.728
Made In JPN,DEAN FUJIOKA,pop,dance pop,0.614
See You Later,Chocoholic,pop,dance pop,0.646
Possible,片寄涼太,pop,dance pop,0.709
All Over You,Boys Get Hurt,pop,dance pop,0.55
Where Would You Go?,SkyLogic,pop,dance pop,0.775
DAYZ,AAAMYYY,pop,dance pop,0.55
Simple Things,HarukiD,pop,dance pop,0.646
